,athlete_first_name,athlete_id,athlete_last_name,championship_number,country,distance,gender,location,mark_time,place
0,Kenenisa,138200,Bekele,10,ETH,10000,men,Helsinki,1628.33,1
1,Sileshi,186987,Sihine,10,ETH,10000,men,Helsinki,1628.87,2
2,MosesCheruiyot,188308,Mosop,10,KEN,10000,men,Helsinki,1628.96,3
3,BonifaceToroitich,174865,Kiprop,10,UGA,10000,men,Helsinki,1630.98,4
4,MartinIrungu,194623,Mathathi,10,KEN,10000,men,Helsinki,1632.51,5
5,Zersenay,189002,Tadese,10,ERI,10000,men,Helsinki,1632.82,6
6,Abebe,188448,Dinkesa,10,ETH,10000,men,Helsinki,1633.09,7
7,Abderrahim,55511,Goumri,10,MAR,10000,men,Helsinki,1634.64,8
8,Nicholas,182002,Kemboi,10,QAT,10000,men,Helsinki,1636.22,9
9,JuanCarlos,181700,delaOssa,10,ESP,10000,men,Helsinki,1653.42,10
10,Yonas,137880,Kifle,10,ERI,10000,men,Helsinki,1655.72,11
11,CharlesWaweru,172507,Kamathi,10,KEN,10000,men,Helsinki,1657.82,12
12,Abdihakem,137596,Abdirahman,10,USA,10000,men,Helsinki,1672.01,13
13,Christian,170381,Belz,10,SUI,10000,men,Helsinki,1673.16,14
14,Gebregziabher,188449,Gebremariam,10,ETH,10000,men,Helsinki,1673.19,15
15,SultanKhamis,200470,Zaman,10,QAT,10000,men,Helsinki,1673.33,16
16,Dieudonné,138516,Disi,10,RWA,10000,men,Helsinki,1673.51,17
17,JohnYuda,181965,Msuri,10,TAN,10000,men,Helsinki,1677.31,18
18,Yu,188182,Mitsuya,10,JPN,10000,men,Helsinki,1677.67,19
19,Mohammed,132962,Amyn,10,MAR,10000,men,Helsinki,1692.59,20
20,Khalid,183494,ElAamri,10,MAR,10000,men,Helsinki,1717.72,21
21,Terukazu,228158,Omori,10,JPN,10000,men,Helsinki,1739.46,22
22,Mebrahtom,136180,Keflezighi,10,USA,10000,men,Helsinki,,23
23,Kenenisa,138200,Bekele,11,ETH,10000,men,Osaka,1625.9,1
24,Sileshi,186987,Sihine,11,ETH,10000,men,Osaka,1629.03,2
25,MartinIrungu,194623,Mathathi,11,KEN,10000,men,Osaka,1632.17,3
26,Zersenay,189002,Tadese,11,ERI,10000,men,Osaka,1641.37,4
27,JosphatMuchiri,188712,Ndambiri,11,KEN,10000,men,Osaka,1651.41,5
28,Gebregziabher,188449,Gebremariam,11,ETH,10000,men,Osaka,1664.58,6
29,Abdihakem,137596,Abdirahman,11,USA,10000,men,Osaka,1676.62,7
30,JosphatKiprono,206196,Menjo,11,KEN,10000,men,Osaka,1705.67,8
31,Dathan,181857,Ritzenhein,11,USA,10000,men,Osaka,1708.59,9
32,BonifaceToroitich,174865,Kiprop,11,UGA,10000,men,Osaka,1710.99,10
33,Galen,196507,Rupp,11,USA,10000,men,Osaka,1721.71,11
